"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"PROD_ID";"SF_ID";"SF_SKU";"SPICEPREFIX";"VALUE";
"1";"";"MCP1700TRI";"TO92";"IC1";"VOLTAGE REGULATOR";"";"";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"JP5";"PIN HEADER";"92";"";"";"";"";"";
"1";"";"PINHD-1X5";"1X05";"JP1";"PIN HEADER";"69";"";"";"";"";"";
"2";"";"PINHD-1X6";"1X06";"JP2, JP4";"PIN HEADER";"79";"";"";"";"";"";
"1";"";"PINHD-1X8";"1X08";"JP3";"PIN HEADER";"67";"";"";"";"";"";
"1";"10k";"R-US_0204/7";"0204/7";"R1";"RESISTOR, American symbol";"48";"";"";"";"R";"";
"2";"10uf";"CPOL-USE2,5-6E";"E2,5-6E";"C1, C2";"POLARIZED CAPACITOR, American symbol";"1";"";"";"";"C";"";
"1";"16MHz";"CRYSTAL-16MHZPTH-HC49US";"HC49US";"Y1";"16MHz Crystal";"";"XTAL-08181";"COM-00536";"";"";"16MHz";
"1";"220E";"R-US_0204/7";"0204/7";"R2";"RESISTOR, American symbol";"48";"";"";"";"R";"";
"3";"22pf";"C-US025-024X044";"C025-024X044";"C3, C4, C5";"CAPACITOR, American symbol";"17";"";"";"";"C";"";
"1";"ATMEGA328P_PDIP";"ATMEGA328P_PDIP";"DIP28";"U1";"Atmel 328P";"";"IC-09136";"";"";"";"328P";
"1";"GREEN";"LED3MM";"LED3MM";"LED1";"LED";"";"";"";"";"";"";
"1";"POWER_JACKPTH_LOCK";"POWER_JACKPTH_LOCK";"POWER_JACK_PTH_LOCK";"J1";"Power Jack Connector";"";"CONN-08197";"PRT-00119";"";"";"";
"1";"spst";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"S1";"Momentary Switch (Pushbutton) - SPST";"";" SWCH-08441";"";"COM-00097";"";"";
